91-93,6-92
35-69,5-35
5-97,5-97
60-86,44-87
41-88,98-98
52-55,53-57
27-93,28-92
95-97,50-91
45-62,45-84
1-60,2-42
7-97,98-99
91-92,18-91
10-53,11-95
75-80,77-84
1-1,1-99
7-77,27-41
6-96,96-96
17-97,17-96
1-1,1-99
28-90,29-32
2-79,12-80
47-47,10-46
97-98,2-97
38-64,38-40
5-97,4-30
8-91,7-92
21-49,20-21
21-77,20-95
16-70,15-26
33-98,32-96
3-4,8-72
48-98,2-99
7-30,8-30
34-60,33-34
78-92,34-83
5-46,5-5
52-73,35-74
37-96,97-99
6-92,5-92
3-85,3-84
2-86,2-2
93-98,72-92
23-34,22-34
6-73,5-7
29-42,29-67
12-97,11-29
38-68,38-67
85-87,81-86
23-29,30-64
2-3,3-83
17-92,18-64
28-29,29-38
52-54,53-83
6-19,6-90
8-97,79-97
2-40,2-30
3-89,4-98
6-89,1-3
8-8,8-94
5-94,4-93
81-95,81-87
86-88,87-89
8-8,9-94
46-56,46-46
7-95,32-99
3-93,2-31
80-80,1-79
64-98,63-64
82-84,14-83
26-79,26-80
30-56,57-88
6-15,49-93
8-30,4-33
55-99,13-97
5-6,6-38
10-49,12-50
5-79,78-79
7-93,6-94
12-65,64-65
14-15,15-90
95-95,48-94
1-93,3-94
49-88,88-95
13-13,13-83
8-98,97-98
20-22,21-43
83-88,84-87
22-88,21-88
47-98,35-46
1-5,6-82
59-86,65-85
38-43,40-64
23-96,22-97
81-83,67-80
70-96,70-70
72-89,62-67
5-83,6-84
10-85,2-15
1-3,2-56
2-37,37-38
5-94,4-85
1-2,3-97
1-95,97-97
14-29,15-20
16-22,29-97
80-89,89-90
22-75,21-75
9-88,6-7
6-10,11-22
9-79,9-80
42-57,18-41
34-96,96-97
16-96,17-95
21-21,22-85
16-67,15-16
23-72,60-71
9-81,9-81
44-91,45-92
3-91,4-92
38-92,69-91
72-96,2-73
2-46,1-85
28-71,28-71
8-81,7-9
1-12,1-2
10-92,3-91
55-95,96-98
40-50,41-98
7-8,8-29
22-48,23-61
81-90,25-82
17-34,17-72
88-88,5-88
34-78,34-77
66-68,67-76
50-98,49-50
60-73,6-59
12-71,12-70
14-69,68-69
5-7,6-79
21-81,21-21
3-30,4-29
4-4,6-94
20-85,19-20
21-40,22-39
3-93,2-93
47-50,50-68
4-97,5-99
28-46,27-53
18-18,17-86
12-76,77-77
10-96,11-78
6-88,4-89
7-98,7-98
4-47,3-4
37-41,38-61
26-92,26-57
8-49,14-50
19-73,18-64
70-71,3-70
4-4,4-99
11-99,62-74
4-27,4-9
38-65,38-66
73-81,79-96
11-75,10-10
24-56,55-55
30-30,31-75
48-94,49-95
2-98,3-8
63-87,62-87
7-95,73-97
96-97,15-98
8-58,57-64
6-81,80-99
34-78,78-79
43-44,44-60
68-78,78-78
1-1,3-92
30-57,53-56
26-82,26-81
24-92,24-91
42-62,43-57
28-76,77-85
6-50,6-50
8-70,9-86
79-79,32-78
21-93,27-94
71-85,65-70
40-85,41-73
46-46,47-91
3-99,4-98
14-24,13-57
11-15,17-82
49-63,39-53
26-27,19-26
19-98,18-47
3-96,3-3
17-20,16-63
2-14,2-27
16-37,13-15
13-14,14-84
4-80,3-79
15-79,14-15
7-7,8-72
12-99,99-99
23-93,24-32
4-26,3-58
33-33,38-58
60-75,59-61
6-6,6-97
3-34,2-95
66-85,66-84
8-65,9-40
57-58,58-61
4-41,5-28
36-96,35-95
5-94,1-95
54-57,56-75
26-26,26-41
7-92,7-95
26-33,5-32
37-49,38-67
42-51,52-55
55-55,31-54
1-1,1-32
85-98,9-96
97-97,77-96
7-77,6-83
73-89,72-95
24-78,27-79
8-14,3-7
23-23,23-74
4-74,3-73
15-15,17-48
3-99,3-3
15-62,15-62
21-97,6-37
98-99,64-92
40-65,41-58
61-86,1-60
95-96,23-95
40-65,39-66
3-66,2-4
5-85,6-96
86-88,85-89
6-94,82-93
31-31,32-75
4-4,3-55
18-83,19-84
12-99,11-12
51-53,49-54
17-17,18-87
4-62,61-61
10-14,14-73
5-78,6-79
21-53,22-62
37-39,38-39
22-23,23-78
31-83,35-84
35-76,36-60
67-69,68-82
4-64,29-79
42-43,52-87
11-13,12-34
25-65,70-71
46-46,46-46
5-80,3-55
12-46,10-47
16-49,1-16
56-98,32-56
36-83,37-99
58-58,53-89
66-74,8-48
71-90,34-65
10-79,1-3
3-13,4-12
65-66,66-99
6-93,5-98
17-90,18-40
94-96,15-75
83-90,99-99
9-47,10-89
5-79,6-81
22-44,16-18
7-7,7-90
2-94,1-94
33-68,24-34
1-8,12-72
87-96,73-93
8-97,97-99
18-45,19-46
14-93,13-90
47-47,48-48
10-89,11-44
43-75,76-94
18-54,17-17
6-82,7-84
40-78,78-83
15-15,16-21
19-68,50-67
25-27,30-77
11-69,10-68
38-38,48-84
69-98,68-93
11-16,17-93
7-26,27-75
73-97,73-93
9-92,8-93
23-62,62-99
19-89,19-95
51-53,15-52
6-31,30-32
93-94,10-49
31-52,30-38
43-45,44-92
14-42,13-29
21-24,22-80
70-79,24-80
49-49,49-87
2-3,2-50
5-95,6-95
20-57,16-66
38-69,68-68
60-90,91-92
55-97,94-99
30-90,30-84
29-51,30-51
55-55,42-56
9-96,8-97
58-96,58-58
37-97,98-99
5-69,5-47
20-93,21-84
9-65,1-2
23-24,24-69
7-95,8-94
7-43,8-99
7-63,4-5
4-17,4-21
21-28,27-84
10-23,10-88
4-52,4-52
99-99,89-97
84-90,1-85
51-90,99-99
33-67,53-79
29-29,2-30
2-88,1-86
16-99,3-98
83-96,82-83
83-85,20-84
6-6,7-62
44-78,58-94
7-25,7-25
7-94,8-80
16-97,15-98
4-52,51-71
75-92,49-69
2-94,2-2
14-29,15-99
8-78,8-78
11-95,12-96
1-95,1-94
78-87,11-77
54-76,54-77
92-97,90-94
31-87,32-88
60-61,2-60
9-76,10-77
41-86,2-86
9-94,9-94
85-94,9-86
2-98,98-98
79-89,58-75
34-44,33-44
40-98,39-41
16-66,15-79
51-90,90-94
85-85,86-90
38-45,34-37
1-6,5-36
43-95,43-95
77-93,66-92
93-94,8-93
37-70,36-71
19-22,22-23
64-78,63-79
51-63,7-50
21-99,20-20
30-79,30-78
38-71,32-70
69-75,69-77
42-76,41-42
1-99,2-96
15-75,15-82
39-40,40-96
5-41,42-97
71-93,70-93
23-23,23-91
75-92,79-84
32-34,33-63
9-91,76-92
12-92,11-11
31-32,8-31
3-89,2-46
2-93,2-2
22-91,22-90
16-98,5-96
94-94,4-94
39-75,39-39
68-69,3-68
70-89,70-89
19-81,19-80
22-97,23-98
42-73,42-59
14-40,14-41
47-58,46-61
2-26,3-45
92-93,44-93
17-46,18-46
30-84,53-83
65-93,94-94
3-6,6-93
14-75,32-74
24-54,23-24
61-79,47-80
7-11,16-37
31-70,30-70
50-76,51-51
2-90,89-91
8-90,7-8
54-84,61-85
70-87,71-87
25-80,7-98
5-16,4-92
20-66,21-67
8-59,7-58
55-87,30-35
89-98,24-94
34-85,34-34
70-75,17-30
35-35,36-99
12-12,11-83
85-98,86-88
19-92,16-91
43-89,17-83
15-97,15-96
9-58,9-9
97-98,5-98
3-79,99-99
21-54,20-20
78-89,77-89
61-63,20-35
94-94,37-93
4-24,3-33
15-99,16-98
6-80,6-37
29-31,30-49
20-94,21-57
7-72,7-7
14-92,14-98
35-50,50-96
1-91,2-94
2-80,1-1
17-18,18-84
60-62,34-61
32-63,31-64
17-96,18-95
98-99,8-97
71-81,81-82
36-97,35-97
28-28,27-75
4-98,3-99
3-79,19-87
26-42,25-41
29-84,22-28
24-59,60-63
19-19,19-32
18-98,18-95
5-98,6-97
1-13,46-88
11-79,11-11
14-39,15-41
2-53,6-93
3-91,2-90
46-89,45-46
11-87,10-88
3-88,3-4
19-46,47-93
23-60,22-84
22-84,21-94
1-3,18-81
24-88,10-92
37-57,38-58
45-47,46-67
37-77,36-56
29-89,29-29
11-11,11-93
4-82,57-98
10-99,10-98
12-58,12-91
33-90,34-91
37-61,37-62
22-67,7-68
55-57,38-56
49-67,67-68
3-19,20-95
31-94,94-95
97-99,7-96
41-90,40-90
32-48,31-31
12-95,2-11
68-98,16-67
85-86,42-85
18-81,17-82
45-52,44-46
19-51,18-89
2-93,94-95
61-70,61-63
28-30,29-58
28-71,71-72
24-36,29-51
32-89,74-96
15-20,13-21
24-55,23-74
74-91,92-93
51-63,50-50
93-95,95-96
7-88,6-69
34-78,88-94
5-58,5-15
57-88,87-89
35-92,36-94
31-65,32-64
6-70,5-70
51-83,51-82
69-83,69-81
82-86,61-85
14-78,78-79
37-38,40-54
23-46,22-22
92-96,93-99
3-5,4-89
72-73,15-73
59-76,74-96
6-80,2-4
2-85,3-3
17-97,20-98
4-19,20-60
16-91,17-81
97-98,12-95
16-16,16-65
4-23,3-8
83-91,19-78
1-1,1-28
7-9,8-92
21-23,22-65
32-99,32-97
6-31,6-81
39-67,39-79
73-99,42-85
6-96,5-99
55-96,39-91
86-88,9-85
32-74,33-73
96-98,13-61
14-91,91-95
3-88,2-90
54-59,60-86
66-66,66-66
14-96,13-89
15-94,69-93
49-50,49-78
18-67,18-68
31-92,30-93
3-58,4-57
30-75,30-76
99-99,70-98
12-94,93-93
22-55,23-63
4-86,59-85
10-12,13-98
17-95,17-17
7-97,67-99
29-66,43-67
3-79,1-2
27-84,18-26
9-81,8-9
5-69,1-6
11-99,12-97
12-12,14-85
23-81,24-84
12-18,35-77
11-52,12-47
15-23,69-73
4-55,2-2
5-65,65-68
23-96,24-95
49-54,49-55
10-51,9-51
92-93,68-92
15-15,17-78
41-98,40-42
15-31,14-61
2-4,4-4
38-56,40-58
2-98,11-97
49-49,50-65
63-64,64-80
35-54,3-55
15-94,16-74
8-60,16-61
10-10,9-9
63-92,63-91
54-75,54-65
3-8,11-82
2-3,3-99
37-72,37-72
26-85,25-81
18-44,17-44
76-93,62-76
2-93,3-80
91-91,90-93
27-96,27-92
6-99,5-47
45-71,45-45
5-10,6-22
78-79,77-84
40-57,39-49
40-72,41-63
67-94,67-93
69-96,54-72
42-43,41-94
32-95,31-64
87-93,18-94
34-96,35-75
28-98,98-99
17-44,16-45
9-48,8-88
42-64,42-63
57-70,58-62
25-92,18-24
68-73,67-69
50-96,14-51
13-38,12-13
62-69,61-81
11-16,29-90
21-74,21-73
32-54,33-57
13-58,13-58
7-73,7-7
15-89,14-15
11-57,11-58
4-97,3-96
12-98,11-99
38-39,37-43
16-66,15-67
26-33,27-29
99-99,71-97
58-60,57-59
37-63,44-62
31-32,32-93
84-98,87-92
94-99,76-80
17-77,76-78
64-78,45-49
26-76,25-79
1-99,99-99
7-93,7-93
31-88,91-96
2-3,5-91
26-34,35-59
95-98,63-94
16-72,17-44
4-91,4-90
19-89,20-97
95-99,1-95
81-86,81-81
18-99,75-87
17-59,18-59
25-83,25-25
41-69,40-68
57-62,57-63
62-62,51-59
16-97,15-16
71-85,11-84
68-70,49-69
36-85,37-79
26-28,26-28
41-75,37-64
79-87,79-87
4-56,3-57
12-76,13-77
36-37,7-35
43-92,29-93
47-78,47-79
11-61,11-75
7-48,7-44
25-76,24-76
8-55,55-56
8-97,7-87
14-97,99-99
10-12,11-95
19-86,18-19
29-86,13-28
51-61,50-77
59-83,59-83
2-52,1-53
14-84,15-83
11-89,11-90
15-89,16-85
1-3,5-94
49-70,69-71
1-1,3-96
75-89,75-79
30-78,31-31
4-67,4-95
14-64,15-65
88-97,9-89
99-99,7-93
38-52,39-39
11-91,11-91
85-86,14-85
36-55,14-56
9-70,70-71
10-20,76-96
17-35,35-36
80-81,21-80
71-94,17-95
2-89,14-90
85-86,39-86
72-94,71-97
9-31,8-9
8-9,9-89
29-30,29-95
4-58,5-59
51-72,50-51
26-26,26-96
71-73,50-72
3-84,1-4
5-94,95-95
86-98,85-97
87-87,34-87
24-47,25-33
4-15,15-58
29-56,56-57
63-91,32-62
58-94,58-94
1-22,2-25
2-84,2-85
30-87,29-87
9-90,9-89
4-45,5-27
32-83,31-32
24-94,23-95
63-69,63-68
47-79,47-78
31-78,31-67
11-26,6-6
76-77,40-75
85-91,22-84
22-22,22-23
36-70,36-70
41-41,41-90
4-78,2-2
13-94,12-48
7-7,20-35
5-5,4-66
40-68,50-83
36-93,35-36
4-92,42-97
31-31,20-30
27-37,28-32
39-75,40-75
81-96,80-90
7-22,8-92
1-1,3-99
21-82,22-81
45-59,28-60
24-24,24-93
30-67,68-84
6-88,6-88
36-61,8-18
19-40,39-67
15-79,16-99
80-81,80-86
16-16,17-22
4-94,3-94
14-71,13-75
8-82,7-87
8-20,9-43
32-84,31-83
66-94,13-65
19-96,22-84
21-94,22-94
14-82,50-93
3-94,1-1
27-82,33-81
47-71,48-66
5-92,12-94
37-99,14-67
61-63,5-62
5-95,4-6
50-91,25-49
7-23,22-96
23-78,24-79
21-33,22-25
55-75,9-55
59-65,41-43
32-71,32-71
92-92,10-91
29-83,17-84
55-90,90-91
42-75,41-75
5-95,5-95
94-94,67-94
97-98,35-97
87-88,60-87
46-97,47-96
3-39,40-71
31-94,30-39
22-90,21-90
36-79,36-36
12-80,12-80
20-96,19-20
3-39,4-46
21-89,99-99
35-36,34-38
15-93,22-93
85-95,86-94
8-29,7-34
65-73,67-81
6-88,83-92
